name,release_date,price_myr,tags,genres,peak_ccu,user_reviews_total,popularity,reviews
Counter-Strike 2,2012-08-21,Free,"'FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'e-sports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable'", 'Free to Play' 'Action',1362469,8071426,Highly Popular,Many Reviews
PUBG: BATTLEGROUNDS,2017-12-21,Free,"'Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth'", 'Adventure'  'Free to Play'  'Massively Multiplayer' 'Action',590582,2365012,Highly Popular,Many Reviews
Dota 2,2013-07-09,Free,"'Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'e-sports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation'", 'Free to Play'  'Strategy' 'Action',668192,2247365,Highly Popular,Many Reviews
Grand Theft Auto V,2015-04-13,Free,"'Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim', 'Third Person', 'First-Person', 'Mature', 'Shooter', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Co-op', 'Sandbox', 'Atmospheric', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable'", 'Adventure' 'Action',133571,1643791,Highly Popular,Many Reviews
Tom Clancy's Rainbow Six Siege,2015-12-01,RM89.96,"'FPS', 'PvP', 'e-sports', 'Multiplayer', 'Tactical', 'Shooter', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'Strategy', 'First-Person', 'War', 'Realistic', 'Co-op', 'Destruction', 'Difficult', 'D 3'",'Action',68162,1091695,Highly Popular,Many Reviews
Team Fortress 2,2007-10-10,Free,"'Free to Play', 'Hero Shooter', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Class-Based', 'Team-Based', 'Funny', 'First-Person', 'Online Co-Op', 'Competitive', 'Cartoony', 'Trading', 'Co-op', 'Comedy', 'Robots', 'Tactical', 'Cartoon', 'Crafting'", 'Free to Play' 'Action',70485,1048199,Highly Popular,Many Reviews
Terraria,2011-05-16,RM44.96,"'Open World Survival Craft', 'Sandbox', 'Survival', 'D 2', 'Multiplayer', 'Adventure', 'Pixel Graphics', 'Crafting', 'Building', 'Exploration', 'Co-op', 'Open World', 'Online Co-Op', 'Indie', 'Action', 'RPG', 'Singleplayer', 'Replay Value', 'Platformer', 'Atmospheric'", 'Adventure'  'Indie'  'RPG' 'Action',23331,1026239,Highly Popular,Many Reviews
Garry's Mod,2006-11-29,RM44.96,"'Sandbox', 'Moddable', 'Multiplayer', 'Physics', 'Building', 'Casual', 'Funny', 'Singleplayer', 'First-Person', 'Online Co-Op', 'FPS', 'Co-op', 'Simulation', 'Shooter', 'Action', 'Comedy', 'Indie', 'PvP', 'Realistic', 'Exploration'", 'Indie'  'Simulation' 'Casual',21459,918752,Highly Popular,Many Reviews
Rust,2018-02-08,RM179.96,"'Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', 'First-Person', 'Action', 'Nudity', 'FPS', 'Shooter', 'Co-op', 'Online Co-Op', 'Indie', 'Early Access', 'Post-apocalyptic', 'Simulation'", 'Adventure'  'Indie'  'Massively Multiplayer'  'RPG' 'Action',122371,874762,Highly Popular,Many Reviews
Apex Legends,2020-11-04,Free,"'Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Survival', 'Loot', 'Character Customization', 'Funny', 'Co-op', 'Lore-Rich', 'Cyberpunk', 'Cinematic'", 'Adventure'  'Free to Play' 'Action',169567,829738,Highly Popular,Many Reviews
